term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
every gain,every dance,1,0
these dogs,those assignments,2,1.732
three horses,four horses,3.5,2.5
three shares,that share,4.25,1.479
those agencies,this office,1.5,0.866
those trains,those trucks,1.5,0.866
these farmers,every manufacturer,1.75,1.299
two shirts,that hat,1.25,0.433
two treaties,three offices,1.5,0.866
every artist,every ring,1,0
those rings,those bottles,1.5,0.5
those libraries,this library,5.25,0.829
this library,that guitar,1,0
two hotels,four hotels,3.25,1.785
that interest,every gain,2.75,1.785
two towns,two platoons,1.75,0.829
every ceremony,every wedding,2.5,2.062
these cars,those cars,6.75,0.433
these tables,that chair,1.75,1.299
those towns,this town,4.5,2.291
two licences,four bonds,1.75,0.829
two apples,three apples,4.5,2.062
that assignment,that sword,2,1.732
this fund,that fund,2.75,2.046
three villas,four villas,3.75,2.773
all villages,all agencies,3,1.871
these artists,those extensions,1.5,0.866
all phones,every law,1,0
that parish,that town,4.25,0.829
these boroughs,those states,2,1.225
four prefectures,four villages,2.5,1.658
this villa,all villas,4.25,1.92
three goats,three dogs,1,0
these profits,that profit,3.5,2.5
two horses,those horses,4.75,2.278
four artists,four producers,2.5,1.118
these villages,these weights,2.25,1.299
these celebrations,that celebration,3.5,2.5
that guitar,that ceremony,2.5,1.118
these lands,that kingdom,2,0.707
this land,every city,3,1.225
these dates,every date,5.5,1.5
that household,every household,5.5,1.5
four pubs,four domes,1.25,0.433
three trucks,four dollars,1.5,0.866
two laws,two tribes,2,1.225
those households,every household,4.5,0.866
three states,four states,4.75,1.09
these extensions,this extension,3,1.225
those occasions,that occasion,5,1.225
those bottles,every bottle,2.75,1.785
two developers,those designers,1.75,1.299
these villages,every village,3,2.121
two libraries,three libraries,4,2.121
that fund,that train,2.75,2.046
those nations,that nation,3.5,2.062
two laws,this obligation,1.25,0.433
all laws,every law,4.5,2.291
this gain,all capitals,1,0
those lands,this land,3.5,2.179
two helicopters,four laws,2,1.225
three guns,four bombs,1.75,0.829
those moments,those bottles,2,1.225
three farmers,three producers,2.25,1.639
three clubs,that household,1,0
four boats,that boat,5,0
four makers,these farmers,2,1.732
four bills,four houses,1,0
four offices,this club,1.5,0.866
those hats,that constitution,1.5,0.866
three tribes,four tribes,4,2.55
those buses,those trucks,2.5,1.658
all masses,every moment,1.75,1.299
this love,that love,5.75,0.433
those musicians,those treaties,1,0
all bills,all licences,1,0
two shirts,two hats,1.5,0.5
three swords,that sword,4.25,1.92
these fears,this borough,1,0
two trains,four yachts,1.75,1.299
three makers,those designers,1,0
two libraries,two troops,3,2.121
that land,that village,2.75,1.479
two clubs,those teams,1.25,0.433
those committees,all clubs,1,0
two goats,three horses,2.75,1.299
these dogs,every dog,3.5,2.5
two designers,those builders,2.5,1.118
three committees,four offices,1.75,1.299
three architects,three periods,1.75,1.299
two jets,three boats,1.5,0.5
those temperatures,this temperature,4.25,1.299
two drafts,three drafts,4.5,2.062
three lions,four cows,1.75,1.299
three cottages,three hospitals,1,0
these ships,this car,1.75,1.299
three developers,three manufacturers,1.75,1.299
those corners,this corner,3.5,2.062
those bombs,those missiles,3.75,1.639
those counties,those lands,2.25,1.639
three sofas,that table,2,1.732
two cities,this city,4,1.732
these moths,this moth,3.75,2.278
this interest,every interest,5,0.707
that moment,every moment,3.5,2.598
three farmers,three producers,2.75,1.09
these parties,that bed,1.5,0.866
those guitars,this guitar,4.5,0.866
this law,every opinion,1.5,0.866
those fears,that desire,1,0
two weights,four weights,5,0
that ball,that cup,2.75,1.785
these laws,that law,4.75,1.479
all producers,every manufacturer,2.25,1.639
two frigates,this ship,1.25,0.433
these days,this period,2.75,1.785
these statutes,all bills,1,0
three weights,that length,1,0
these agencies,that cat,1,0
four families,that family,5.5,0.5
two bombers,two ships,2.25,1.09
all phones,every share,1,0
these lengths,those chairs,1,0
two cents,two dollars,3,1.414
this licence,this obligation,1.5,0.866
two bottles,four tribes,1,0
all states,every county,2.5,2.062
three chairs,three tables,2.25,1.299
three rings,those corners,1.25,0.433
those pennies,every pound,1.75,1.299
this passion,that fear,2.25,0.433
these agencies,those agencies,4.5,2.291
those families,those households,3.25,1.785
two boroughs,four states,4.25,1.639
that interest,that castle,2.5,1.118
that cloud,every cloud,4,1.871
all checks,all weights,1.25,0.433
these tribes,those tribes,4.25,1.92
two photographers,two bombers,1.75,1.299
these extensions,this length,2.25,1.09
this borough,this office,1.75,0.829
these farmers,those farmers,5,1.732
four teams,these teams,3.75,2.773
three musicians,three flutes,3.75,1.92
these interests,this allocation,1,0
this country,this committee,1.75,0.829
those socks,those pigs,2.5,2.062
four manufacturers,four bombs,1,0
those towns,this state,1,0
these conventions,this convention,4.25,1.92
these committees,those possessions,1.5,0.866
these restaurants,those manufacturers,2.75,2.487
two jets,these jets,4.75,1.639
three musicians,those makers,2,0.707
four cats,four pigs,1.5,0.866
three musicians,four musicians,4.25,1.92
these restaurants,that hospital,1,0
that dance,every party,1.75,1.299
these leagues,that bond,1,0
these households,that club,1.25,0.433
every incentive,every period,3,0.707
those developers,those cars,2.5,1.5
two funds,four houses,1.75,1.299
three families,these households,3,1.581
those offices,this committee,1.25,0.433
every fund,every mortgage,3.5,1.658
this restaurant,this moment,3,1.225
three opinions,this convention,1,0
two elephants,four elephants,4.75,1.639
every club,every office,3.5,1.118
those ships,every motorcycle,2.5,2.598
that ceremony,that ship,1.5,0.866
three bears,three horses,1.75,0.829
three helicopters,three rockets,2.75,1.785
this kingdom,that borough,3,1.871
two producers,three farmers,1,0
this pub,that venture,2.75,1.785
four hotels,that hotel,5.75,0.829
two fighters,three fighters,4,1.732
these companies,every family,1.5,0.866
every credit,every ball,2,1.732
that wind,that dance,1.5,0.866
three teams,four libraries,2.5,1.5
these opinions,those phones,4,1.871
three cats,four elephants,1.5,0.866
that chair,every chair,3.5,1.5
these guns,that sword,1,0
four committees,four departments,1.75,0.829
these ceremonies,this ceremony,4.25,1.785
those gains,that chestnut,1.25,0.433
those agencies,that gain,1.25,0.433
four developers,these manufacturers,1.5,0.5
those lands,that kingdom,1.75,1.299
four boroughs,four countries,1.75,1.299
this mass,that date,1,0
all artists,every producer,3,2.121
three offices,that club,1.25,0.433
that assignment,all licences,1.75,1.299
those extensions,all extensions,4.5,2.062
those buses,all ships,1.5,0.866
three nations,those nations,5,0.707
this pub,this extension,1.75,1.299
four leagues,these leagues,3.75,1.479
this village,every land,2.75,1.299
this passion,that fear,2,1.225
four battleships,four ships,3.5,2.5
those bottles,that bottle,5,0.707
four cars,four vans,1.75,1.299
those weights,those guns,1.75,1.299
those manufacturers,all manufacturers,3.25,1.785
these rats,those rats,5,0.707
every rabbit,every tribe,2.5,1.5
two jets,that bus,1,0
these moths,this moth,4,1.871
this opinion,this department,2.75,1.785
this moment,all periods,1,0
these cities,those boroughs,1.75,1.299
this city,every country,3,2
these castles,this tribe,2.75,2.046
these statutes,this treaty,2.25,1.639
three jets,three ships,1.25,0.433
this table,that extension,1,0
these desires,these fears,1,0
three bombers,four bombers,4.5,2.062
this future,that future,5.5,0.5
two jets,those buses,1,0
four towns,this town,3.25,2.278
these countries,every country,4.5,1.5
every wind,every hotel,2.75,2.046
this dance,that house,1.25,0.433
these households,these boats,3.25,2.165
two fighters,four pounds,2.5,1.658
these interests,those towns,1.75,1.299
three battleships,three tankers,3.5,1.658
three elephants,three pigs,2,0.707
this library,this dance,1.5,0.866
these winds,this wind,4,1.871
two coats,four masses,1,0
those cats,those licences,1.25,0.433
that town,that gun,1,0
two makers,three shirts,1.25,0.433
these offices,those bombs,1,0
those towns,every town,3.75,1.09
two farmers,those producers,1,0
two moments,three moments,5.25,1.92
all horses,all licences,1.25,0.433
two cats,four masses,1.5,0.866
this allocation,this licence,1,0
two laws,three licences,1.25,0.433
four suburbs,four fighters,3.75,1.92
four credits,four golds,1.25,0.433
two balls,those balls,2.75,1.479
those guitars,that horse,2.5,1.5
that allocation,that moment,2,1.225
three countries,four countries,5.5,0.5
two towns,three states,3.75,1.785
four occasions,these occasions,4,1.871
two phones,two hotels,1,0
every fund,every club,2,1
two developers,four designers,1,0
three trains,those trains,6,0.707
two musicians,those designers,1.75,1.299
two frigates,four helicopters,1.75,1.299
these butterflies,these moths,2.25,2.165
this draft,every draft,4.75,0.829
two frigates,three frigates,6,0
every ball,every dance,2.75,2.046
those parties,that dance,2.25,1.639
these offices,every office,5.75,0.829
three cruisers,three frigates,2,0.707
two funds,two trains,2,1.225
every artist,every truck,2,1.732
two domes,three trains,1.75,1.299
four cows,four lions,2,1.732
three producers,four producers,5.25,0.829
those villages,those cats,1,0
these households,those households,5.25,0.829
this constructor,that borough,1.5,0.866
four capitals,four beds,1.5,0.866
two rings,three rings,4.25,1.92
two tribes,four tribes,4.75,2.165
two chairs,two tables,3.25,1.785
those clubs,this club,4.5,2.062
four opinions,that bill,1.75,1.299
that land,every state,2.25,1.299
three cyclones,three hurricanes,3,1.871
those parties,that country,1.5,0.866
these kingdoms,those states,3,1.581
two dates,that date,3,2
three vans,four cars,2.25,1.299
two laws,three laws,6,0
these countries,every county,3.25,2.278
three vans,four trains,1.5,0.866
two artists,four designers,1.25,0.433
two trains,these trains,2.25,2.165
these ventures,every venture,5,0.707
three offices,those households,2,1.225
these boats,those boats,4,1.871
these ships,those clouds,1.25,0.433
those towns,this country,2,1.732
these fears,this fear,4.5,2.062
that committee,that nation,2.75,1.299
two villas,this cottage,1,0
three funds,those incomes,2,1.732
four constitutions,this licence,1,0
two bombers,four villages,1.75,1.299
those farmers,this assignment,1,0
three families,four families,5,1.414
two chairs,three laws,1.25,0.433
two countries,these cities,3,1.414
these committees,these periods,2.25,1.299
two rats,those cows,1.75,0.829
that town,that gun,2.25,2.165
these dances,those tribes,1.5,0.866
that county,all counties,4.25,1.299
these mortgages,this capital,1.5,0.5
two dances,three dances,3.5,1.803
these boroughs,this borough,3,1
those musicians,this boat,1,0
four moments,these moments,3.5,1.658
those troops,every family,1.5,0.866
three weights,three trains,3.5,1.5
four jets,those cars,1.75,0.829
these cars,this bill,2.25,1.09
those towns,all lands,1.75,1.299
this credit,that gain,1.5,0.866
four airplanes,this ship,1.25,0.433
two restaurants,three days,1.25,0.433
all lengths,every horse,1.25,0.433
these snakes,those leagues,3.5,2.291
four ships,four guns,3.25,0.829
two drafts,these drafts,2.25,2.165
these credits,this corner,1.25,0.433
those bonds,all licences,1,0
those occasions,this treaty,1.25,0.433
two dogs,four pigs,1.5,0.866
three coats,that coat,4.5,1.118
those chairs,every bed,1,0
three bottles,that bottle,4.75,1.639
two cows,four cows,3.75,1.92
these laws,this law,4.25,2.046
all occasions,every occasion,5.75,0.829
four departments,four houses,2.75,1.09
these restaurants,these extensions,2.5,0.866
all interests,all investments,3,2.121
two masses,this length,1,0
these cities,these conventions,3.75,1.785
two counties,these counties,4,1.871
these lengths,these weights,1.75,1.299
these bonds,these obligations,3,1.581
those balls,that credit,2.25,1.299
four states,these states,4.5,2.179
three castles,this hospital,3,2.449
this investment,that dog,1.5,0.866
three extensions,four houses,2,1.225
two designers,these designers,4.75,1.09
every love,every pleasure,3.75,1.92
those temperatures,this temperature,5.25,0.433
three committees,this tribe,1.75,0.829
these licences,these ships,1.25,0.433
this parish,that parish,5.5,0.5
two makers,four producers,2.5,1.118
two goats,two rabbits,1,0
this land,that land,3.5,2.291
those clubs,that club,3.25,1.479
these libraries,these fears,1,0
these tribes,that bus,1,0
two pubs,these pubs,5,1
these shirts,that shirt,5.5,1.118
three tankers,four bombers,1.75,1.299
this village,all villages,2.75,1.299
these dogs,this dog,4.5,2.291
these clubs,that club,5.25,0.433
four licences,that licence,2.75,1.785
all tables,every investment,1.25,0.433
those families,those households,3.8,1.939
that pain,that pleasure,1.75,0.829
these obligations,this licence,3.25,0.829
three cats,these pigs,1,0
this restaurant,this state,3,1.581
four clubs,this club,3.25,1.785
two pubs,four pubs,4,2.236
all committees,every country,1.25,0.433
those balls,all balls,4.25,2.165
two hotels,these pubs,2.5,1.658
these interests,all credits,1.75,1.299
those restaurants,all restaurants,4.5,2.062
two goats,three cows,2.25,1.639
three cows,four vans,2.5,2.062
these pigs,that dog,1.5,0.5
that tribe,all leagues,2.5,1.5
two shirts,that shirt,4,2.121
three restaurants,three dates,2.25,2.165
that credit,that fund,2.25,1.09
that chair,every table,3.25,1.479
those hotels,those trains,1,0
two occasions,three architects,1,0
these counties,this state,2.25,1.299
those artists,those rings,3,0.707
that state,every state,5.25,0.829
these shirts,those makers,1,0
three departments,this club,1,0
three treaties,three guns,1,0
these moments,every moment,4.75,2.278
that artist,that future,2,0.707
